id,url,header,address,area,bathrooms,garages,amenites,price,condo,bairro,crawled_at
2530923772,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-42m2-venda-RS470000-id-2530923772/,"Apartamento com Quarto à Venda, 42m²","Rua Indiana, 68 - Brooklin, São Paulo - SP",42,2 Banheiros,1 Vaga,Condomínio fechado Portão eletrônico Portaria 24h,R$ 470.000,R$ 600,Brooklin,2021-10-10 15:43
https://www.vivareal.com.br/imoveis-lancamento/vivaz-transamerica-feirao-mcmv-2516224868,https://www.vivareal.com.br/imoveis-lancamento/vivaz-transamerica-feirao-mcmv-2516224868/,Vivaz Transamérica - Feirão MCMV,"Rua João Alfredo, 431 - Santo Amaro, São Paulo - SP",24-33,1 Banheiro,-- Vaga,None,R$ 191.466,,Brooklin,2021-10-10 15:43
2532710792,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-70m2-venda-RS1060000-id-2532710792/,"Apartamento com Quarto à Venda, 70m²","Avenida Padre Antônio José dos Santos, 102 - Brooklin, São Paulo - SP",70,2 Banheiros,2 Vagas,Churrasqueira Elevador Condomínio fechado Academia Aceita animais ...,R$ 1.060.000,R$ 840,Brooklin,2021-10-10 15:43
2532168881,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-80m2-venda-RS1477000-id-2532168881/,"Apartamento com 2 Quartos à Venda, 80m²","Rua George Ohm, 330 - Brooklin, São Paulo - SP",80,3 Banheiros,2 Vagas,Piscina Mobiliado Churrasqueira Elevador Condomínio fechado ...,R$ 1.477.000,R$ 794,Brooklin,2021-10-10 15:43
2531318094,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-170m2-venda-RS2200000-id-2531318094/,"Apartamento com 3 Quartos à Venda, 170m²","Rua Pensilvânia, 742 - Brooklin, São Paulo - SP",170,4 Banheiros,3 Vagas,Piscina Elevador Academia Aceita animais Ar-condicionado ...,R$ 2.200.000,R$ 2.200,Brooklin,2021-10-10 15:43
2528629599,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-45m2-venda-RS660000-id-2528629599/,"Apartamento com Quarto à Venda, 45m²","Rua Castilho, 155 - Brooklin, São Paulo - SP",45,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 660.000,R$ 580,Brooklin,2021-10-10 15:43
2511557601,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-218m2-venda-RS2390000-id-2511557601/,"Apartamento com 4 Quartos à Venda, 218m²","Rua Laplace, 44 - Brooklin, São Paulo - SP",218,5 Banheiros,4 Vagas,Piscina Mobiliado Churrasqueira Elevador Condomínio fechado ...,R$ 2.390.000,R$ 1.900,Brooklin,2021-10-10 15:43
2531874484,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-60m2-venda-RS890000-id-2531874484/,"Apartamento com 2 Quartos à Venda, 60m²","Rua Ribeiro do Vale, 357 - Brooklin, São Paulo - SP",60,2 Banheiros,1 Vaga,Piscina Mobiliado Churrasqueira Elevador Condomínio fechado ...,R$ 890.000,R$ 750,Brooklin,2021-10-10 15:43
https://www.vivareal.com.br/imoveis-lancamento/vivaz-santo-amaro-2524752967,https://www.vivareal.com.br/imoveis-lancamento/vivaz-santo-amaro-2524752967/,Vivaz Santo Amaro,"Rua João Alfredo, 431 - Santo Amaro, São Paulo - SP",33-34,1 Banheiro,-- Vaga,None,R$ 225.000,,Brooklin,2021-10-10 15:43
2533109980,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-32m2-venda-RS410000-id-2533109980/,"Apartamento com Quarto à Venda, 32m²","Avenida Santo Amaro, 4800 - Brooklin, São Paulo - SP",32,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 410.000,,Brooklin,2021-10-10 15:43
2532294130,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-100m2-venda-RS1380000-id-2532294130/,"Apartamento com 3 Quartos à Venda, 100m²","Rua Pássaros e Flores, 56 - Brooklin, São Paulo - SP",100,4 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Academia Aceita animais ...,R$ 1.380.000,R$ 1.200,Brooklin,2021-10-10 15:43
2508177787,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-66m2-venda-RS1100000-id-2508177787/,"Apartamento com 2 Quartos à Venda, 66m²","Avenida Santo Amaro, 4.800 - Brooklin, São Paulo - SP",66,2 Banheiros,1 Vaga,Piscina Elevador Condomínio fechado Academia Aceita animais ...,R$ 1.100.000,R$ 650,Brooklin,2021-10-10 15:43
2482041387,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-157m2-venda-RS1680000-id-2482041387/,"Apartamento com 3 Quartos à Venda, 157m²","Avenida Portugal, 228 - Brooklin, São Paulo - SP",157,3 Banheiros,2 Vagas,Piscina Mobiliado Elevador Aceita animais Ar-condicionado ...,R$ 1.680.000,R$ 2.826,Brooklin,2021-10-10 15:43
2528745376,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-100m2-venda-RS1030000-id-2528745376/,"Apartamento com 3 Quartos à Venda, 100m²","Rua Indiana, 510 - Brooklin, São Paulo - SP",100,3 Banheiros,2 Vagas,Mobiliado Elevador Condomínio fechado Aceita animais Espaço gourmet ...,R$ 1.030.000,R$ 1.390,Brooklin,2021-10-10 15:43
2525289113,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-25m2-venda-RS409900-id-2525289113/,"Apartamento com Quarto à Venda, 25m²","Rua Professor Doutor José Marques da Cruz, 75 - Brooklin, São Paulo - SP",25,1 Banheiro,-- Vaga,Piscina Mobiliado Churrasqueira Elevador Condomínio fechado ...,R$ 409.900,,Brooklin,2021-10-10 15:43
https://www.vivareal.com.br/imoveis-lancamento/vivaz-santo-amaro-feirao-mcmv-2516222021,https://www.vivareal.com.br/imoveis-lancamento/vivaz-santo-amaro-feirao-mcmv-2516222021/,Vivaz Santo Amaro - Feirão MCMV,"Rua João Alfredo, 431 - Santo Amaro, São Paulo - SP",33-34,1 Banheiro,-- Vaga,None,R$ 208.000,,Brooklin,2021-10-10 15:43
2536312186,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-67m2-venda-RS890000-id-2536312186/,"Apartamento com 2 Quartos à Venda, 67m²","Rua Castilho, 155 - Brooklin, São Paulo - SP",67,2 Banheiros,1 Vaga,Piscina Mobiliado Churrasqueira Elevador Condomínio fechado ...,R$ 890.000,R$ 860,Brooklin,2021-10-10 15:43
2533922482,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-151m2-venda-RS2870000-id-2533922482/,"Apartamento com 3 Quartos à Venda, 151m²","Rua República do Iraque, 855 - Brooklin, São Paulo - SP",151,5 Banheiros,3 Vagas,Piscina Mobiliado Churrasqueira Elevador Condomínio fechado ...,R$ 2.870.000,R$ 1.470,Brooklin,2021-10-10 15:43
2168335537,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-57m2-venda-RS750000-id-2168335537/,"Apartamento com Quarto à Venda, 57m²","Avenida Portugal, 1278 - Brooklin, São Paulo - SP",57,1 Banheiro,1 Vaga,Piscina Mobiliado Varanda Academia Aceita animais ...,R$ 750.000,R$ 800,Brooklin,2021-10-10 15:43
2507112516,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-115m2-venda-RS1300000-id-2507112516/,"Apartamento com 3 Quartos à Venda, 115m²","Rua Barão do Triunfo, 786 - Brooklin, São Paulo - SP",115,5 Banheiros,2 Vagas,Piscina Elevador Academia Aceita animais Salão de festas ...,R$ 1.300.000,R$ 1.612,Brooklin,2021-10-10 15:43
2472650173,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-64m2-venda-RS695000-id-2472650173/,"Apartamento com 2 Quartos à Venda, 64m²","Avenida Portugal, 401 - Brooklin, São Paulo - SP",64,2 Banheiros,1 Vaga,Elevador Ar-condicionado Playground Móvel planejado Salão de festas ...,R$ 695.000,R$ 900,Brooklin,2021-10-10 15:43
2427763578,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-78m2-venda-RS1900000-id-2427763578/,"Apartamento com Quarto à Venda, 78m²","Rua Nova York - Brooklin, São Paulo - SP",78,3 Banheiros,2 Vagas,Piscina Mobiliado Varanda Academia Espaço gourmet ...,R$ 1.900.000,R$ 1.000,Brooklin,2021-10-10 15:43
2535858781,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-218m2-venda-RS3000000-id-2535858781/,"Apartamento com 4 Quartos à Venda, 218m²","Rua Laplace, 44 - Brooklin, São Paulo - SP",218,5 Banheiros,4 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 3.000.000,R$ 2.700,Brooklin,2021-10-10 15:43
2519637223,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-120m2-venda-RS1250000-id-2519637223/,"Apartamento com 3 Quartos à Venda, 120m²","Rua do Estilo Barroco, 100 - Brooklin, São Paulo - SP",120,3 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Varanda ...,R$ 1.250.000,R$ 82,Brooklin,2021-10-10 15:43
2533744880,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-68m2-venda-RS851382-id-2533744880/,"Apartamento com 2 Quartos à Venda, 68m²","Rua Senador Milton Campos, 175 - Brooklin, São Paulo - SP",68,3 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 851.382,R$ 680,Brooklin,2021-10-10 15:43
2536574197,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-35m2-venda-RS450000-id-2536574197/,"Apartamento com Quarto à Venda, 35m²","Rua Princesa Isabel, 340 - Brooklin, São Paulo - SP",35,1 Banheiro,1 Vaga,Piscina Mobiliado Elevador Condomínio fechado Varanda ...,R$ 450.000,,Brooklin,2021-10-10 15:43
2534405543,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-65m2-venda-RS820000-id-2534405543/,"Apartamento com 2 Quartos à Venda, 65m²","Rua Getúlio Soares da Rocha, 135 - Brooklin, São Paulo - SP",65,2 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 820.000,R$ 700,Brooklin,2021-10-10 15:43
2527948839,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-81m2-venda-RS623000-id-2527948839/,"Apartamento com 3 Quartos à Venda, 81m²","Rua Bacaetava, 181 - Brooklin, São Paulo - SP",81,2 Banheiros,1 Vaga,Elevador Condomínio fechado Jardim Playground Salão de festas ...,R$ 623.000,,Brooklin,2021-10-10 15:43
2536270787,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-107m2-venda-RS1352218-id-2536270787/,"Apartamento com 3 Quartos à Venda, 107m²","Rua Santo Arcádio, 92 - Brooklin, São Paulo - SP",107,3 Banheiros,-- Vaga,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 1.352.218,,Brooklin,2021-10-10 15:43
2534687606,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-48m2-venda-RS556000-id-2534687606/,"Apartamento com Quarto à Venda, 48m²","Avenida Doutor Chucri Zaidan, 111 - Brooklin, São Paulo - SP",48,1 Banheiro,-- Vaga,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 556.000,R$ 300,Brooklin,2021-10-10 15:43
2527405676,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-142m2-venda-RS1789000-id-2527405676/,"Apartamento com 3 Quartos à Venda, 142m²","Rua Santo Arcádio, 92 - Brooklin, São Paulo - SP",142,5 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 1.789.000,,Brooklin,2021-10-10 15:43
2518090797,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-157m2-venda-RS2200000-id-2518090797/,"Apartamento com 3 Quartos à Venda, 157m²","Rua Princesa Isabel, 1575 - Brooklin, São Paulo - SP",157,4 Banheiros,3 Vagas,Piscina Elevador Condomínio fechado Varanda Academia ...,R$ 2.200.000,R$ 1.600,Brooklin,2021-10-10 15:43
2533344317,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-128m2-venda-RS2850000-id-2533344317/,"Apartamento com 2 Quartos à Venda, 128m²","Rua Michigan, 470 - Brooklin, São Paulo - SP",128,4 Banheiros,2 Vagas,Piscina Mobiliado Condomínio fechado Academia Espaço gourmet ...,R$ 2.850.000,R$ 1.190,Brooklin,2021-10-10 15:43
2533250609,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-142m2-venda-RS1657000-id-2533250609/,"Apartamento com 3 Quartos à Venda, 142m²","Rua Santo Arcádio, 92 - Brooklin, São Paulo - SP",142,5 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Varanda ...,R$ 1.657.000,R$ 1.377,Brooklin,2021-10-10 15:43
2530490784,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-167m2-venda-RS1900000-id-2530490784/,"Apartamento com 3 Quartos à Venda, 167m²","Rua Princesa Isabel, 89 - Brooklin, São Paulo - SP",167,5 Banheiros,3 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 1.900.000,R$ 2.000,Brooklin,2021-10-10 15:43
